id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1540382753677627393,1540382753677627393,2022-06-24 10:14:02 Pacific Daylight Time,2022-06-24,10:14:02,-0700,17919972,taylorswift13,Taylor Swift,,"I’m absolutely terrified that this is where we are - that after so many decades of people fighting for women’s rights to their own bodies, today’s decision has stripped us of that.",en,[],[],[],10671,143353,821779,[],[],https://twitter.com/taylorswift13/status/1540382753677627393,False,https://twitter.com/MichelleObama/status/1540345715616006148,0,,,,,,,,[],,,,
1540183725027229703,1540183720845533185,2022-06-23 21:03:09 Pacific Daylight Time,2022-06-23,21:03:09,-0700,17919972,taylorswift13,Taylor Swift,,I wrote this one alone in the middle of the night and then @AaronDessner and I meticulously worked on a sound that we felt would be authentic to the moment when this story takes place. I made a wish that one day you would hear it. ‘Carolina’ is out now 🥺   https://t.co/2xqE0fEr10,en,"[{'screen_name': 'aarondessner', 'name': 'aaron dessner', 'id': '226640985'}]",['http://taylor.lnk.to/Carolina'],[],1781,17917,126490,[],[],https://twitter.com/taylorswift13/status/1540183725027229703,False,,0,,,,,,,,[],,,,
1540183720845533185,1540183720845533185,2022-06-23 21:03:08 Pacific Daylight Time,2022-06-23,21:03:08,-0700,17919972,taylorswift13,Taylor Swift,,"About a year &amp; half ago I wrote a song about the story of a girl who always lived on the outside, looking in. Figuratively &amp; literally. The juxtaposition of her loneliness &amp; independence. Her curiosity &amp; fear all tangled up. Her persisting gentleness &amp; the world’s betrayal of it.  https://t.co/2o1z8Hrht6",en,[],[],[],9070,62590,269285,[],[],https://twitter.com/taylorswift13/status/1540183720845533185,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540183648468623360/pu/img/xHEqJJY-HYNZqQTZ.jpg,,,,,,,[],,,,
1529295926057123841,1529295926057123841,2022-05-24 19:58:56 Pacific Daylight Time,2022-05-24,19:58:56,-0700,17919972,taylorswift13,Taylor Swift,,"Filled with rage and grief, and so broken by the murders in Uvalde. By Buffalo, Laguna Woods and so many others. By the ways in which we, as a nation, have become conditioned to unfathomable and unbearable heartbreak. Steve’s words ring so true and cut so deep.",en,[],[],[],4167,52614,375747,[],[],https://twitter.com/taylorswift13/status/1529295926057123841,False,https://twitter.com/warriors/status/1529246789290934272,0,,,,,,,,[],,,,
1485714267269738498,1485714265675812866,2022-01-24 12:40:59 Pacific Standard Time,2022-01-24,12:40:59,-0700,17919972,taylorswift13,Taylor Swift,,PS I wrote this tweet all by myself in case you were wondering 😑,en,[],[],[],11774,83627,738031,[],[],https://twitter.com/taylorswift13/status/1485714267269738498,False,,0,,,,,,,,[],,,,
1485714265675812866,1485714265675812866,2022-01-24 12:40:58 Pacific Standard Time,2022-01-24,12:40:58,-0700,17919972,taylorswift13,Taylor Swift,,@DamonAlbarn I was such a big fan of yours until I saw this. I write ALL of my own songs. Your hot take is completely false and SO damaging. You don’t have to like my songs but it’s really fucked up to try and discredit my writing. WOW.,en,[],[],[],22318,113958,743181,[],[],https://twitter.com/taylorswift13/status/1485714265675812866,False,https://twitter.com/latimes/status/1485693067684319234,0,,,,,,,,[],,,,
1470506710901084162,1470506710901084162,2021-12-13 13:31:35 Pacific Standard Time,2021-12-13,13:31:35,-0700,17919972,taylorswift13,Taylor Swift,,"*don’t say it, don’t say it OKAY I’m saying it:* I’M FEELIN 32. And Alana is feeling 30. Don’t worry we tested everyone! Thank you so much for the birthday wishes, I love you all so much 🥰🥲🎂  https://t.co/X43eHWMlKJ",en,[],[],"['https://pbs.twimg.com/media/FGhKDt8WQAIDLNE.jpg', 'https://pbs.twimg.com/media/FGhKDt6XoAc0ecK.jpg']",31261,100929,623792,[],[],https://twitter.com/taylorswift13/status/1470506710901084162,False,,1,https://pbs.twimg.com/media/FGhKDt8WQAIDLNE.jpg,,,,,,,[],,,,
1463277431700262915,1463277431700262915,2021-11-23 14:45:00 Pacific Standard Time,2021-11-23,14:45:00,-0700,17919972,taylorswift13,Taylor Swift,,"NO PROBLEMS TODAY JUST CHAMPAGNE🥂 I wanted to share this video with you from when @aaron_dessner and I were doing our fittings for the video and there was a piano, so ofc this happened. SO stoked evermore has been honored like this. Congrats to all our fellow nominees #GRAMMYs  https://t.co/e50IShhoe6",en,"[{'screen_name': 'aaron_dessner', 'name': 'aaron dessner', 'id': '2923474228'}]",[],[],13510,83117,411768,['grammys'],[],https://twitter.com/taylorswift13/status/1463277431700262915,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1463277307431469060/pu/img/dGeRgTa94B8nbsMt.jpg,,,,,,,[],,,,
1462908811107307533,1462908807034679303,2021-11-22 14:20:14 Pacific Standard Time,2021-11-22,14:20:14,-0700,17919972,taylorswift13,Taylor Swift,,"THANK YOU to the team that made All Too Well (the 10 min): The ultimate craftsman of songs that sound epic @jackantonoff, bad ass @Sharp_Stick, @rowedizzle and @lizrose06! Love you all. ♥️",en,"[{'screen_name': 'jackantonoff', 'name': 'jackantonoff', 'id': '414569910'}, {'screen_name': 'sharp_stick', 'name': 'sharp stick', 'id': '582525698'}, {'screen_name': 'rowedizzle', 'name': 'christopher rowe', 'id': '249759105'}, {'screen_name': 'lizrose06', 'name': 'liz rose', 'id': '48583250'}]",[],[],1142,13483,171743,[],[],https://twitter.com/taylorswift13/status/1462908811107307533,False,,0,,,,,,,,[],,,,
1462908809542787072,1462908807034679303,2021-11-22 14:20:14 Pacific Standard Time,2021-11-22,14:20:14,-0700,17919972,taylorswift13,Taylor Swift,,I’m so proud of this song and the memories I have with you guys because of it. You truly chose this one and now you did THIS?! I’m floored. A ten minute song is at the top of the Hot 100.🤯,en,[],[],[],2657,21893,233973,[],[],https://twitter.com/taylorswift13/status/1462908809542787072,False,,0,,,,,,,,[],,,,
1462908807034679303,1462908807034679303,2021-11-22 14:20:13 Pacific Standard Time,2021-11-22,14:20:13,-0700,17919972,taylorswift13,Taylor Swift,,*FERAL SCREECH*,en,[],[],[],7042,43476,368636,[],[],https://twitter.com/taylorswift13/status/1462908807034679303,False,https://twitter.com/billboardcharts/status/1462859512570863621,0,,,,,,,,[],,,,
1461732893852590087,1461732893852590087,2021-11-19 08:27:34 Pacific Standard Time,2021-11-19,08:27:34,-0700,17919972,taylorswift13,Taylor Swift,,"Carole, you and your music mean more to me than I could ever sum up in a speech or a performance. But I TRIED. #RockHall2021 tomorrow at 8pm ET    📷: @GettyImages  https://t.co/XcllXMJAjt",en,"[{'screen_name': 'gettyimages', 'name': 'getty images', 'id': '40297195'}]",[],"['https://pbs.twimg.com/media/FEkeUWxXsA8GWUJ.jpg', 'https://pbs.twimg.com/media/FEkeUWwXwBEBW7y.jpg']",4928,24468,235946,['rockhall2021'],[],https://twitter.com/taylorswift13/status/1461732893852590087,False,,1,https://pbs.twimg.com/media/FEkeUWxXsA8GWUJ.jpg,,,,,,,[],,,,
1461138558962610178,1461138558962610178,2021-11-17 17:05:53 Pacific Standard Time,2021-11-17,17:05:53,-0700,17919972,taylorswift13,Taylor Swift,,One of the saddest songs I’ve ever written just got sadder 🙃Drove up to Long Pond Studios to record All Too Well (Sad Girl Autumn Version) with the besties @aaron_dessner @heyjonlow    https://t.co/UnbELgJGAi  https://t.co/Z1XK2zQkwf,en,"[{'screen_name': 'aaron_dessner', 'name': 'aaron dessner', 'id': '2923474228'}, {'screen_name': 'heyjonlow', 'name': 'jonathan low', 'id': '24830844'}]",['http://taylor.lnk.to/atw-sadgirlautumn'],"['https://pbs.twimg.com/media/FEcBxUPXwAMVfwD.jpg', 'https://pbs.twimg.com/media/FEcBxUFXsAImGa-.jpg']",9407,52896,353629,[],[],https://twitter.com/taylorswift13/status/1461138558962610178,False,,1,https://pbs.twimg.com/media/FEcBxUPXwAMVfwD.jpg,,,,,,,[],,,,
1461094648819167245,1461094648819167245,2021-11-17 14:11:24 Pacific Standard Time,2021-11-17,14:11:24,-0700,17919972,taylorswift13,Taylor Swift,,"So grateful for @Miles_Teller for being the greatest dance partner and friend to me. And @keleighteller, who is the coolest living human on planet earth. The bride was willing to risk it all 🥰🧣  https://t.co/PXHlKCo1iF",en,"[{'screen_name': 'miles_teller', 'name': 'miles teller', 'id': '392447726'}, {'screen_name': 'keleighteller', 'name': 'keleigh teller', 'id': '28521939'}]",[],"['https://pbs.twimg.com/media/FEbZ1ofWUAInR4U.jpg', 'https://pbs.twimg.com/media/FEbZ1okWUAEeB_g.jpg', 'https://pbs.twimg.com/media/FEbZ1ohWUAU7cg-.jpg', 'https://pbs.twimg.com/media/FEbZ1omXoAIn-5t.jpg']",5242,30177,264469,[],[],https://twitter.com/taylorswift13/status/1461094648819167245,False,,1,https://pbs.twimg.com/media/FEbZ1ofWUAInR4U.jpg,,,,,,,[],,,,
1460387539060146177,1460387539060146177,2021-11-15 15:21:36 Pacific Standard Time,2021-11-15,15:21:36,-0700,17919972,taylorswift13,Taylor Swift,,The first ever performance of All Too Well (10 min version) was at the AMC 13 theater in front of 400 fans. We recorded the acoustic performance so now we can all experience it together 🥲 It’s available here  https://t.co/H55gVedcRh  https://t.co/ntDSDI9tYV,en,[],['https://taylor.lnk.to/atw-collection'],"['https://pbs.twimg.com/media/FERWubaWUAU-Hle.jpg', 'https://pbs.twimg.com/media/FERWuXIXwAEdxuQ.jpg']",6284,43775,344030,[],[],https://twitter.com/taylorswift13/status/1460387539060146177,False,,1,https://pbs.twimg.com/media/FERWubaWUAU-Hle.jpg,,,,,,,[],,,,
